0000	0.0	0.0	-1707.0
0001	52.61603	30.37788	-1707.0
0002	0.0	60.75575	-1707.0
0003	-52.61603	30.37788	-1707.0
0004	-52.61603	-30.37788	-1707.0
0005	-0.0	-60.75575	-1707.0
0006	52.61603	-30.37788	-1707.0
0007	105.23205	0.0	-1707.0
0008	105.23205	60.75575	-1707.0
0009	52.61603	91.13363	-1707.0
0010	0.0	121.51151	-1707.0
0011	-52.61603	91.13363	-1707.0
0012	-105.23205	60.75575	-1707.0
0013	-105.23205	0.0	-1707.0
0014	-105.23205	-60.75575	-1707.0
0015	-52.61603	-91.13363	-1707.0
0016	-0.0	-121.51151	-1707.0
0017	52.61603	-91.13363	-1707.0
0018	105.23205	-60.75575	-1707.0
2000	-113.97308	-65.80239	-1692.0
2001	-75.98205	-87.73651	-1692.0
2002	-37.99103	-109.67064	-1692.0
2003	0.0	-131.60477	-1692.0
2004	-113.97308	-21.93413	-1692.0
2005	-75.98205	-43.86826	-1692.0
2006	-37.99103	-65.80239	-1692.0
2007	0.0	-87.73651	-1692.0
2008	37.99103	-109.67064	-1692.0
2009	-113.97308	21.93413	-1692.0
2010	-75.98205	-0.0	-1692.0
2011	-37.99103	-21.93413	-1692.0
2012	0.0	-43.86826	-1692.0
2013	37.99103	-65.80239	-1692.0
2014	75.98205	-87.73651	-1692.0
2015	-113.97308	65.80239	-1692.0
2016	-75.98205	43.86826	-1692.0
2017	-37.99103	21.93413	-1692.0
2018	0.0	0.0	-1692.0
2019	37.99103	-21.93413	-1692.0
2020	75.98205	-43.86826	-1692.0
2021	113.97308	-65.80239	-1692.0
2022	-75.98205	87.73651	-1692.0
2023	-37.99103	65.80239	-1692.0
2024	-0.0	43.86826	-1692.0
2025	37.99103	21.93413	-1692.0
2026	75.98205	0.0	-1692.0
2027	113.97308	-21.93413	-1692.0
2028	-37.99103	109.67064	-1692.0
2029	-0.0	87.73651	-1692.0
2030	37.99103	65.80239	-1692.0
2031	75.98205	43.86826	-1692.0
2032	113.97308	21.93413	-1692.0
2033	-0.0	131.60477	-1692.0
2034	37.99103	109.67064	-1692.0
2035	75.98205	87.73651	-1692.0
2036	113.97308	65.80239	-1692.0
